Samplename	experimental_strategy	disease	count	bedlength	TMB	cohort
BS_1RTE2KEX	PNOC003	HGAT	13	1920395456	0.006769439054536067	pbta_WXS_HGAT
BS_2DNGDW0A	PNOC008	HGAT	29	1920395456	0.015101056352426612	pbta_WXS_HGAT
BS_2HDEZFTW	PNOC003	HGAT	12	1920395456	0.006248712973417908	pbta_WXS_HGAT
BS_2KMB51YF	PNOC003	HGAT	2	1920395456	0.001041452162236318	pbta_WXS_HGAT
BS_328C4BW5	PNOC003	HGAT	11	1920395456	0.00572798689229975	pbta_WXS_HGAT
BS_402W79TS	PNOC003	HGAT	9	1920395456	0.0046865347300634325	pbta_WXS_HGAT
BS_4SCDT7M9	PNOC008	HGAT	16	1920395456	0.008331617297890545	pbta_WXS_HGAT
BS_52ETE050	PNOC003	HGAT	3	1920395456	0.001562178243354477	pbta_WXS_HGAT
BS_541KKASA	PNOC003	HGAT	17	1920395456	0.008852343379008703	pbta_WXS_HGAT
BS_5CCAC8TZ	PNOC003	HGAT	10	1920395456	0.005207260811181591	pbta_WXS_HGAT
BS_5FBN4PPQ	PNOC003	HGAT	18	1920395456	0.009373069460126865	pbta_WXS_HGAT
BS_6687ZNGS	PNOC003	HGAT	15	1920395456	0.007810891216772384	pbta_WXS_HGAT
BS_6B62YT97	PNOC003	HGAT	12	1920395456	0.006248712973417908	pbta_WXS_HGAT
BS_6DT506HY	PNOC003	HGAT	16	1920395456	0.008331617297890545	pbta_WXS_HGAT
BS_6VTQ3W4M	PNOC003	HGAT	6	1920395456	0.003124356486708954	pbta_WXS_HGAT
BS_74SJ7YV4	PNOC003	HGAT	10	1920395456	0.005207260811181591	pbta_WXS_HGAT
BS_74TZJTW0	PNOC003	HGAT	13	1920395456	0.006769439054536067	pbta_WXS_HGAT
BS_7PAAZQE6	PNOC008	HGAT	23	1920395456	0.011976699865717658	pbta_WXS_HGAT
BS_91HP99HY	PNOC008	HGAT	12	1920395456	0.006248712973417908	pbta_WXS_HGAT
BS_9DN4QR6E	PNOC003	HGAT	16	1920395456	0.008331617297890545	pbta_WXS_HGAT
BS_A6YJ3WG2	PNOC003	HGAT	7	1920395456	0.0036450825678271135	pbta_WXS_HGAT
BS_AEEKJ1QK	PNOC003	HGAT	5	1920395456	0.0026036304055907953	pbta_WXS_HGAT
BS_CX6KACX6	PNOC003	HGAT	15	1920395456	0.007810891216772384	pbta_WXS_HGAT
BS_DD2N8CEX	PNOC008	HGAT	24	1920395456	0.012497425946835816	pbta_WXS_HGAT
BS_FWP8ZA4K	PNOC003	HGAT	15	1920395456	0.007810891216772384	pbta_WXS_HGAT
BS_GBT44HST	PNOC003	HGAT	8	1920395456	0.0041658086489452725	pbta_WXS_HGAT
BS_GKXD33YH	PNOC003	HGAT	29	1920395456	0.015101056352426612	pbta_WXS_HGAT
BS_H3TYF6GD	PNOC003	HGAT	24	1920395456	0.012497425946835816	pbta_WXS_HGAT
BS_JC7E55BV	PNOC008	HGAT	19	1920395456	0.00989379554124502	pbta_WXS_HGAT
BS_JCWD4DMA	PNOC003	HGAT	13	1920395456	0.006769439054536067	pbta_WXS_HGAT
BS_JD5FE0V5	PNOC008	HGAT	17	1920395456	0.008852343379008703	pbta_WXS_HGAT
BS_JWDK21ED	PNOC008	HGAT	31	1920395456	0.01614250851466293	pbta_WXS_HGAT
BS_KHJMCFQR	PNOC008	HGAT	16	1920395456	0.008331617297890545	pbta_WXS_HGAT
BS_KPG4WCHS	PNOC003	HGAT	10	1920395456	0.005207260811181591	pbta_WXS_HGAT
BS_P7VR731D	PNOC003	HGAT	9	1920395456	0.0046865347300634325	pbta_WXS_HGAT
BS_QF7M4SHH	PNOC008	HGAT	5	1920395456	0.0026036304055907953	pbta_WXS_HGAT
BS_QZPGVNBB	PNOC003	HGAT	16	1920395456	0.008331617297890545	pbta_WXS_HGAT
BS_TYFD8ZMG	PNOC003	HGAT	8	1920395456	0.0041658086489452725	pbta_WXS_HGAT
BS_WYTDVC0Y	PNOC003	HGAT	14	1920395456	0.007290165135654227	pbta_WXS_HGAT
BS_XNYH7VK6	PNOC008	HGAT	29	1920395456	0.015101056352426612	pbta_WXS_HGAT
BS_XPZAD9PP	PNOC003	HGAT	15	1920395456	0.007810891216772384	pbta_WXS_HGAT
BS_Y0DGBKTY	PNOC003	HGAT	7	1920395456	0.0036450825678271135	pbta_WXS_HGAT
